pitch_angle,pitch_target,pitch_speed,pitch_speed_target,pitch_output,pitch_angle_kp,pitch_angle_ki,pitch_angle_kd,pitch_speed_kp,pitch_speed_ki,pitch_speed_kd,pitch_ff_output,yaw_ff_output
0.85,0.00,0.00,-62.22,-1216.19,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.23,-1216.66,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.24,-1217.03,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.25,-1217.46,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.24,-1217.70,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.25,-1218.07,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.25,-1218.44,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.27,-1218.90,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.28,-1219.34,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.28,-1219.72,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.29,-1220.12,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.32,-1220.72,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.33,-1221.17,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.34,-1221.59,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.34,-1221.84,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.35,-1222.29,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.36,-1222.71,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.38,-1223.21,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.38,-1223.56,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.40,-1224.04,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.42,-1224.59,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.42,-1224.85,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.43,-1225.25,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.42,-1225.55,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.39,-1225.50,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.39,-1225.80,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.38,-1225.97,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.40,-1226.52,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.37,-1226.51,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.37,-1226.89,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.37,-1227.13,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.37,-1227.49,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.38,-1227.91,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.41,-1228.51,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.41,-1228.79,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.40,-1228.99,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.39,-1229.25,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.42,-1229.86,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.43,-1230.32,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.45,-1230.81,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.45,-1231.15,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.48,-1231.76,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.48,-1232.06,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.48,-1232.33,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
